Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-02-01T00:00+01:00[Europe/Oslo];2020-02-01T01:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.749;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T01:00+01:00[Europe/Oslo];2020-02-01T02:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.378;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T02:00+01:00[Europe/Oslo];2020-02-01T03:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.295;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T03:00+01:00[Europe/Oslo];2020-02-01T04:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.38;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T04:00+01:00[Europe/Oslo];2020-02-01T05:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.294;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T05:00+01:00[Europe/Oslo];2020-02-01T06:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.28;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T06:00+01:00[Europe/Oslo];2020-02-01T07:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.724;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T07:00+01:00[Europe/Oslo];2020-02-01T08:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.33;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T08:00+01:00[Europe/Oslo];2020-02-01T09:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.329;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T09:00+01:00[Europe/Oslo];2020-02-01T10:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.55;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T10:00+01:00[Europe/Oslo];2020-02-01T11:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.363;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T11:00+01:00[Europe/Oslo];2020-02-01T12:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.288;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T12:00+01:00[Europe/Oslo];2020-02-01T13:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.899;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T13:00+01:00[Europe/Oslo];2020-02-01T14:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.847;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T14:00+01:00[Europe/Oslo];2020-02-01T15:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.355;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T15:00+01:00[Europe/Oslo];2020-02-01T16:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.336;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T16:00+01:00[Europe/Oslo];2020-02-01T17:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.446;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
7.07058E+17;2020-02-01T17:00+01:00[Europe/Oslo];2020-02-01T18:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.903;KWH;127;2020-02-02T20:59:27+01:00[Europe/Oslo]
