Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-09-01T00:00+02:00[Europe/Oslo];2020-09-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.878;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T01:00+02:00[Europe/Oslo];2020-09-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.254;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T02:00+02:00[Europe/Oslo];2020-09-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.869;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T03:00+02:00[Europe/Oslo];2020-09-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.847;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T04:00+02:00[Europe/Oslo];2020-09-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.889;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T05:00+02:00[Europe/Oslo];2020-09-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.914;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T06:00+02:00[Europe/Oslo];2020-09-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.029;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T07:00+02:00[Europe/Oslo];2020-09-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.66;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T08:00+02:00[Europe/Oslo];2020-09-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.607;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T09:00+02:00[Europe/Oslo];2020-09-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.688;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T10:00+02:00[Europe/Oslo];2020-09-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.322;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T11:00+02:00[Europe/Oslo];2020-09-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.185;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T12:00+02:00[Europe/Oslo];2020-09-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.185;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T13:00+02:00[Europe/Oslo];2020-09-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.1;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T14:00+02:00[Europe/Oslo];2020-09-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.199;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T15:00+02:00[Europe/Oslo];2020-09-01T16:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.503;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T16:00+02:00[Europe/Oslo];2020-09-01T17:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.095;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T17:00+02:00[Europe/Oslo];2020-09-01T18:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.098;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T18:00+02:00[Europe/Oslo];2020-09-01T19:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.095;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T19:00+02:00[Europe/Oslo];2020-09-01T20:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.094;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
7.07058E+17;2020-09-01T20:00+02:00[Europe/Oslo];2020-09-01T21:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.17;KWH;127;2020-09-02T05:40:45+02:00[Europe/Oslo]
