Metering Point Id,From,To,Measurement Name,Volume,Unit Code,Quality,Insert Date Time
707057500068222919,2020-02-01T00:00+01:00[Europe/Oslo],2020-02-01T01:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.103,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T01:00+01:00[Europe/Oslo],2020-02-01T02:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.126,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T02:00+01:00[Europe/Oslo],2020-02-01T03:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.988,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T03:00+01:00[Europe/Oslo],2020-02-01T04:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.147,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T04:00+01:00[Europe/Oslo],2020-02-01T05:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.175,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T05:00+01:00[Europe/Oslo],2020-02-01T06:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.062,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T06:00+01:00[Europe/Oslo],2020-02-01T07:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.037,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T07:00+01:00[Europe/Oslo],2020-02-01T08:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.033,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T08:00+01:00[Europe/Oslo],2020-02-01T09:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.954,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T09:00+01:00[Europe/Oslo],2020-02-01T10:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.355,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T10:00+01:00[Europe/Oslo],2020-02-01T11:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.28,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T11:00+01:00[Europe/Oslo],2020-02-01T12:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.385,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T12:00+01:00[Europe/Oslo],2020-02-01T13:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.711,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T13:00+01:00[Europe/Oslo],2020-02-01T14:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.245,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T14:00+01:00[Europe/Oslo],2020-02-01T15:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.503,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T15:00+01:00[Europe/Oslo],2020-02-01T16:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.452,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T16:00+01:00[Europe/Oslo],2020-02-01T17:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.989,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T17:00+01:00[Europe/Oslo],2020-02-01T18:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.406,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T18:00+01:00[Europe/Oslo],2020-02-01T19:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.205,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T19:00+01:00[Europe/Oslo],2020-02-01T20:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.483,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T20:00+01:00[Europe/Oslo],2020-02-01T21:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.416,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T21:00+01:00[Europe/Oslo],2020-02-01T22:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.683,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T22:00+01:00[Europe/Oslo],2020-02-01T23:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.882,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
707057500068222919,2020-02-01T23:00+01:00[Europe/Oslo],2020-02-02T00:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.302,KWH,127,2020-02-02T20:54:51+01:00[Europe/Oslo]
