Metering Point Id,From,To,Measurement Name,Volume,Unit Code,Quality,Insert Date Time
707057500068253449,2021-10-01T00:00+02:00[Europe/Oslo],2021-10-01T01:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.926,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T01:00+02:00[Europe/Oslo],2021-10-01T02:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.406,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T02:00+02:00[Europe/Oslo],2021-10-01T03:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.696,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T03:00+02:00[Europe/Oslo],2021-10-01T04:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.399,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T04:00+02:00[Europe/Oslo],2021-10-01T05:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.81,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T05:00+02:00[Europe/Oslo],2021-10-01T06:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.796,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T06:00+02:00[Europe/Oslo],2021-10-01T07:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.392,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T07:00+02:00[Europe/Oslo],2021-10-01T08:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.911,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T08:00+02:00[Europe/Oslo],2021-10-01T09:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.447,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T09:00+02:00[Europe/Oslo],2021-10-01T10:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.626,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T10:00+02:00[Europe/Oslo],2021-10-01T11:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.321,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T11:00+02:00[Europe/Oslo],2021-10-01T12:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.769,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T12:00+02:00[Europe/Oslo],2021-10-01T13:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.435,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T13:00+02:00[Europe/Oslo],2021-10-01T14:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.696,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T14:00+02:00[Europe/Oslo],2021-10-01T15:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.661,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T15:00+02:00[Europe/Oslo],2021-10-01T16:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.25,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T16:00+02:00[Europe/Oslo],2021-10-01T17:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.644,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T17:00+02:00[Europe/Oslo],2021-10-01T18:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.622,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T18:00+02:00[Europe/Oslo],2021-10-01T19:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.218,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T19:00+02:00[Europe/Oslo],2021-10-01T20:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.642,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T20:00+02:00[Europe/Oslo],2021-10-01T21:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.645,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T21:00+02:00[Europe/Oslo],2021-10-01T22:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.633,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T22:00+02:00[Europe/Oslo],2021-10-01T23:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.348,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-01T23:00+02:00[Europe/Oslo],2021-10-02T00:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.756,KWH,127,2021-10-02T05:29:19+02:00[Europe/Oslo]
707057500068253449,2021-10-02T00:00+02:00[Europe/Oslo],2021-10-02T01:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.529,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T01:00+02:00[Europe/Oslo],2021-10-02T02:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.026,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T02:00+02:00[Europe/Oslo],2021-10-02T03:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.985,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T03:00+02:00[Europe/Oslo],2021-10-02T04:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.467,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T04:00+02:00[Europe/Oslo],2021-10-02T05:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.169,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T05:00+02:00[Europe/Oslo],2021-10-02T06:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.524,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T06:00+02:00[Europe/Oslo],2021-10-02T07:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.48,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T07:00+02:00[Europe/Oslo],2021-10-02T08:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.057,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T08:00+02:00[Europe/Oslo],2021-10-02T09:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.525,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T09:00+02:00[Europe/Oslo],2021-10-02T10:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.637,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T10:00+02:00[Europe/Oslo],2021-10-02T11:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.956,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T11:00+02:00[Europe/Oslo],2021-10-02T12:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.251,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T12:00+02:00[Europe/Oslo],2021-10-02T13:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.287,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T13:00+02:00[Europe/Oslo],2021-10-02T14:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.941,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T14:00+02:00[Europe/Oslo],2021-10-02T15:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.248,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T15:00+02:00[Europe/Oslo],2021-10-02T16:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.259,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T16:00+02:00[Europe/Oslo],2021-10-02T17:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.914,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T17:00+02:00[Europe/Oslo],2021-10-02T18:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.121,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T18:00+02:00[Europe/Oslo],2021-10-02T19:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.591,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
707057500068253449,2021-10-02T19:00+02:00[Europe/Oslo],2021-10-02T20:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.253,KWH,127,2021-10-03T05:35:29+02:00[Europe/Oslo]
