,Euro/MWh,NOK/kWh
2021-04-01 00:00:00+00:00,18.52,0.187052
2021-04-01 01:00:00+00:00,17.94,0.181194
2021-04-01 02:00:00+00:00,16.83,0.169983
2021-04-01 03:00:00+00:00,16.91,0.170791
2021-04-01 04:00:00+00:00,18.34,0.185234
2021-04-01 05:00:00+00:00,26.91,0.271791
2021-04-01 06:00:00+00:00,51.77,0.522877
2021-04-01 07:00:00+00:00,63.28,0.639128
2021-04-01 08:00:00+00:00,67.04,0.677104
2021-04-01 09:00:00+00:00,62.42,0.630442
2021-04-01 10:00:00+00:00,59.39,0.599839
2021-04-01 11:00:00+00:00,54.72,0.552672
2021-04-01 12:00:00+00:00,53.8,0.54338
2021-04-01 13:00:00+00:00,52.9,0.53429
2021-04-01 14:00:00+00:00,35.39,0.357439
2021-04-01 15:00:00+00:00,37.44,0.378144
2021-04-01 16:00:00+00:00,42.01,0.424301
2021-04-01 17:00:00+00:00,48.4,0.48884
2021-04-01 18:00:00+00:00,55.82,0.563782
2021-04-01 19:00:00+00:00,62.19,0.628119
2021-04-01 20:00:00+00:00,39.77,0.401677
2021-04-01 21:00:00+00:00,59.81,0.604081
2021-04-01 22:00:00+00:00,44.9,0.45349
2021-04-01 23:00:00+00:00,52.77,0.532977
2021-04-02 00:00:00+00:00,17.57,0.177457
2021-04-02 01:00:00+00:00,17.35,0.175235
2021-04-02 02:00:00+00:00,16.96,0.171296
2021-04-02 03:00:00+00:00,17.2,0.17372
2021-04-02 04:00:00+00:00,17.53,0.177053
2021-04-02 05:00:00+00:00,17.82,0.179982
2021-04-02 06:00:00+00:00,17.98,0.181598
2021-04-02 07:00:00+00:00,18.41,0.185941
2021-04-02 08:00:00+00:00,18.72,0.189072
2021-04-02 09:00:00+00:00,18.66,0.188466
2021-04-02 10:00:00+00:00,18.45,0.186345
2021-04-02 11:00:00+00:00,18.42,0.186042
2021-04-02 12:00:00+00:00,18.09,0.182709
2021-04-02 13:00:00+00:00,10.23,0.103323
2021-04-02 14:00:00+00:00,6.01,0.060701
2021-04-02 15:00:00+00:00,6.96,0.070296
2021-04-02 16:00:00+00:00,9.65,0.097465
2021-04-02 17:00:00+00:00,16.65,0.168165
2021-04-02 18:00:00+00:00,18.61,0.187961
2021-04-02 19:00:00+00:00,18.72,0.189072
2021-04-02 20:00:00+00:00,18.86,0.190486
2021-04-02 21:00:00+00:00,18.56,0.187456
2021-04-02 22:00:00+00:00,18.17,0.183517
2021-04-02 23:00:00+00:00,17.58,0.177558
2021-04-03 00:00:00+00:00,17.78,0.179578
2021-04-03 01:00:00+00:00,17.61,0.177861
2021-04-03 02:00:00+00:00,17.14,0.173114
2021-04-03 03:00:00+00:00,17.52,0.176952
2021-04-03 04:00:00+00:00,17.94,0.181194
2021-04-03 05:00:00+00:00,18.01,0.181901
2021-04-03 06:00:00+00:00,18.38,0.185638
2021-04-03 07:00:00+00:00,19.35,0.195435
2021-04-03 08:00:00+00:00,20.01,0.202101
2021-04-03 09:00:00+00:00,20.71,0.209171
2021-04-03 10:00:00+00:00,20.94,0.211494
2021-04-03 11:00:00+00:00,20.66,0.208666
2021-04-03 12:00:00+00:00,20.59,0.207959
2021-04-03 13:00:00+00:00,19.73,0.199273
2021-04-03 14:00:00+00:00,16.79,0.169579
2021-04-03 15:00:00+00:00,13.55,0.136855
2021-04-03 16:00:00+00:00,17.96,0.181396
2021-04-03 17:00:00+00:00,18.59,0.187759
2021-04-03 18:00:00+00:00,18.6,0.18786
2021-04-03 19:00:00+00:00,18.61,0.187961
2021-04-03 20:00:00+00:00,18.49,0.186749
2021-04-03 21:00:00+00:00,18.39,0.185739
2021-04-03 22:00:00+00:00,17.54,0.177154
2021-04-03 23:00:00+00:00,16.02,0.161802
2021-04-04 00:00:00+00:00,14.41,0.145541
2021-04-04 01:00:00+00:00,13.68,0.138168
2021-04-04 02:00:00+00:00,12.47,0.125947
2021-04-04 03:00:00+00:00,11.4,0.11514
2021-04-04 04:00:00+00:00,11.45,0.115645
2021-04-04 05:00:00+00:00,11.97,0.120897
2021-04-04 06:00:00+00:00,11.18,0.112918
2021-04-04 07:00:00+00:00,13.56,0.136956
2021-04-04 08:00:00+00:00,15.71,0.158671
2021-04-04 09:00:00+00:00,17.05,0.172205
2021-04-04 10:00:00+00:00,17.11,0.172811
2021-04-04 11:00:00+00:00,15.38,0.155338
2021-04-04 12:00:00+00:00,13.36,0.134936
2021-04-04 13:00:00+00:00,6.01,0.060701
2021-04-04 14:00:00+00:00,3.66,0.036966
2021-04-04 15:00:00+00:00,1.49,0.015049
2021-04-04 16:00:00+00:00,1.5,0.01515
2021-04-04 17:00:00+00:00,7.01,0.070801
2021-04-04 18:00:00+00:00,11.95,0.120695
2021-04-04 19:00:00+00:00,13.06,0.131906
2021-04-04 20:00:00+00:00,11.66,0.117766
2021-04-04 21:00:00+00:00,10.53,0.106353
2021-04-04 22:00:00+00:00,7.54,0.076154
2021-04-04 23:00:00+00:00,7.74,0.078174
2021-04-05 00:00:00+00:00,7.51,0.075851
2021-04-05 01:00:00+00:00,7.49,0.075649
2021-04-05 02:00:00+00:00,7.52,0.075952
2021-04-05 03:00:00+00:00,7.53,0.076053
2021-04-05 04:00:00+00:00,7.53,0.076053
2021-04-05 05:00:00+00:00,8.27,0.083527
2021-04-05 06:00:00+00:00,8.18,0.082618
2021-04-05 07:00:00+00:00,8.75,0.088375
2021-04-05 08:00:00+00:00,8.79,0.088779
2021-04-05 09:00:00+00:00,9.14,0.092314
2021-04-05 10:00:00+00:00,9.66,0.097566
2021-04-05 11:00:00+00:00,10.06,0.101606
2021-04-05 12:00:00+00:00,9.21,0.093021
2021-04-05 13:00:00+00:00,8.75,0.088375
2021-04-05 14:00:00+00:00,5.05,0.051005
2021-04-05 15:00:00+00:00,4.1,0.04141
2021-04-05 16:00:00+00:00,4.44,0.044844
2021-04-05 17:00:00+00:00,5.65,0.057065
2021-04-05 18:00:00+00:00,9.43,0.095243
2021-04-05 19:00:00+00:00,18.66,0.188466
2021-04-05 20:00:00+00:00,19.88,0.200788
2021-04-05 21:00:00+00:00,19.48,0.196748
2021-04-05 22:00:00+00:00,18.03,0.182103
2021-04-05 23:00:00+00:00,10.47,0.105747
2021-04-06 00:00:00+00:00,14.7,0.14847
2021-04-06 01:00:00+00:00,13.9,0.14039
2021-04-06 02:00:00+00:00,12.37,0.124937
2021-04-06 03:00:00+00:00,14.19,0.143319
