Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-06-01T00:00+02:00[Europe/Oslo];2020-06-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.054;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T01:00+02:00[Europe/Oslo];2020-06-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T02:00+02:00[Europe/Oslo];2020-06-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.032;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T03:00+02:00[Europe/Oslo];2020-06-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.039;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T04:00+02:00[Europe/Oslo];2020-06-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T05:00+02:00[Europe/Oslo];2020-06-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T06:00+02:00[Europe/Oslo];2020-06-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.299;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T07:00+02:00[Europe/Oslo];2020-06-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.217;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T08:00+02:00[Europe/Oslo];2020-06-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T09:00+02:00[Europe/Oslo];2020-06-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.041;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T10:00+02:00[Europe/Oslo];2020-06-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T11:00+02:00[Europe/Oslo];2020-06-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T12:00+02:00[Europe/Oslo];2020-06-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.04;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T13:00+02:00[Europe/Oslo];2020-06-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.031;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T14:00+02:00[Europe/Oslo];2020-06-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.292;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T15:00+02:00[Europe/Oslo];2020-06-01T16:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.224;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T16:00+02:00[Europe/Oslo];2020-06-01T17:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.032;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T17:00+02:00[Europe/Oslo];2020-06-01T18:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.038;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T18:00+02:00[Europe/Oslo];2020-06-01T19:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.034;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T19:00+02:00[Europe/Oslo];2020-06-01T20:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.355;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T20:00+02:00[Europe/Oslo];2020-06-01T21:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.525;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T21:00+02:00[Europe/Oslo];2020-06-01T22:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.298;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
7.07058E+17;2020-06-01T22:00+02:00[Europe/Oslo];2020-06-01T23:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.042;KWH;127;2020-06-02T06:05:28+02:00[Europe/Oslo]
