Metering Point Id,From,To,Measurement Name,Volume,Unit Code,Quality,Insert Date Time
707057500068252398,2020-01-01T00:00+01:00[Europe/Oslo],2020-01-01T01:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.923,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T01:00+01:00[Europe/Oslo],2020-01-01T02:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.717,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T02:00+01:00[Europe/Oslo],2020-01-01T03:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.479,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T03:00+01:00[Europe/Oslo],2020-01-01T04:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.164,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T04:00+01:00[Europe/Oslo],2020-01-01T05:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.17,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T05:00+01:00[Europe/Oslo],2020-01-01T06:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.239,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T06:00+01:00[Europe/Oslo],2020-01-01T07:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.192,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T07:00+01:00[Europe/Oslo],2020-01-01T08:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.198,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T08:00+01:00[Europe/Oslo],2020-01-01T09:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.078,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T09:00+01:00[Europe/Oslo],2020-01-01T10:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.977,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T10:00+01:00[Europe/Oslo],2020-01-01T11:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.654,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T11:00+01:00[Europe/Oslo],2020-01-01T12:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.434,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T12:00+01:00[Europe/Oslo],2020-01-01T13:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.168,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T13:00+01:00[Europe/Oslo],2020-01-01T14:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.146,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T14:00+01:00[Europe/Oslo],2020-01-01T15:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.787,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T15:00+01:00[Europe/Oslo],2020-01-01T16:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.162,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T16:00+01:00[Europe/Oslo],2020-01-01T17:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,3.159,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T17:00+01:00[Europe/Oslo],2020-01-01T18:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.462,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T18:00+01:00[Europe/Oslo],2020-01-01T19:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.89,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T19:00+01:00[Europe/Oslo],2020-01-01T20:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,3.734,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T20:00+01:00[Europe/Oslo],2020-01-01T21:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.717,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T21:00+01:00[Europe/Oslo],2020-01-01T22:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.654,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T22:00+01:00[Europe/Oslo],2020-01-01T23:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.606,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-01T23:00+01:00[Europe/Oslo],2020-01-02T00:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.744,KWH,127,2020-01-03T06:02:43+01:00[Europe/Oslo]
707057500068252398,2020-01-02T00:00+01:00[Europe/Oslo],2020-01-02T01:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.416,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T01:00+01:00[Europe/Oslo],2020-01-02T02:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.296,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T02:00+01:00[Europe/Oslo],2020-01-02T03:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.481,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T03:00+01:00[Europe/Oslo],2020-01-02T04:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.087,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T04:00+01:00[Europe/Oslo],2020-01-02T05:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.01,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T05:00+01:00[Europe/Oslo],2020-01-02T06:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.075,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T06:00+01:00[Europe/Oslo],2020-01-02T07:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.975,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T07:00+01:00[Europe/Oslo],2020-01-02T08:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.947,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T08:00+01:00[Europe/Oslo],2020-01-02T09:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.434,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T09:00+01:00[Europe/Oslo],2020-01-02T10:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.358,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T10:00+01:00[Europe/Oslo],2020-01-02T11:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.479,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T11:00+01:00[Europe/Oslo],2020-01-02T12:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.33,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T12:00+01:00[Europe/Oslo],2020-01-02T13:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.49,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T13:00+01:00[Europe/Oslo],2020-01-02T14:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.389,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T14:00+01:00[Europe/Oslo],2020-01-02T15:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.074,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T15:00+01:00[Europe/Oslo],2020-01-02T16:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.423,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T16:00+01:00[Europe/Oslo],2020-01-02T17:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.916,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T17:00+01:00[Europe/Oslo],2020-01-02T18:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.45,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T18:00+01:00[Europe/Oslo],2020-01-02T19:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.887,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T19:00+01:00[Europe/Oslo],2020-01-02T20:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.186,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T20:00+01:00[Europe/Oslo],2020-01-02T21:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.997,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T21:00+01:00[Europe/Oslo],2020-01-02T22:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.389,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T22:00+01:00[Europe/Oslo],2020-01-02T23:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.904,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-02T23:00+01:00[Europe/Oslo],2020-01-03T00:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.653,KWH,127,2020-01-03T20:04:22+01:00[Europe/Oslo]
707057500068252398,2020-01-03T00:00+01:00[Europe/Oslo],2020-01-03T01:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.575,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T01:00+01:00[Europe/Oslo],2020-01-03T02:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.611,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T02:00+01:00[Europe/Oslo],2020-01-03T03:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.648,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T03:00+01:00[Europe/Oslo],2020-01-03T04:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.496,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T04:00+01:00[Europe/Oslo],2020-01-03T05:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.638,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T05:00+01:00[Europe/Oslo],2020-01-03T06:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.736,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T06:00+01:00[Europe/Oslo],2020-01-03T07:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.73,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T07:00+01:00[Europe/Oslo],2020-01-03T08:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.884,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T08:00+01:00[Europe/Oslo],2020-01-03T09:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.862,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T09:00+01:00[Europe/Oslo],2020-01-03T10:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.932,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T10:00+01:00[Europe/Oslo],2020-01-03T11:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.837,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T11:00+01:00[Europe/Oslo],2020-01-03T12:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.867,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T12:00+01:00[Europe/Oslo],2020-01-03T13:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.551,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T13:00+01:00[Europe/Oslo],2020-01-03T14:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.884,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T14:00+01:00[Europe/Oslo],2020-01-03T15:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.732,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T15:00+01:00[Europe/Oslo],2020-01-03T16:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.925,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T16:00+01:00[Europe/Oslo],2020-01-03T17:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.947,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T17:00+01:00[Europe/Oslo],2020-01-03T18:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.011,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T18:00+01:00[Europe/Oslo],2020-01-03T19:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.191,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T19:00+01:00[Europe/Oslo],2020-01-03T20:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.08,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T20:00+01:00[Europe/Oslo],2020-01-03T21:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.044,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T21:00+01:00[Europe/Oslo],2020-01-03T22:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,3.134,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T22:00+01:00[Europe/Oslo],2020-01-03T23:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.542,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-03T23:00+01:00[Europe/Oslo],2020-01-04T00:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.129,KWH,127,2020-01-04T05:59:25+01:00[Europe/Oslo]
707057500068252398,2020-01-04T00:00+01:00[Europe/Oslo],2020-01-04T01:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.454,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T01:00+01:00[Europe/Oslo],2020-01-04T02:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.404,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T02:00+01:00[Europe/Oslo],2020-01-04T03:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.706,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T03:00+01:00[Europe/Oslo],2020-01-04T04:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.619,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T04:00+01:00[Europe/Oslo],2020-01-04T05:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.705,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T05:00+01:00[Europe/Oslo],2020-01-04T06:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.782,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T06:00+01:00[Europe/Oslo],2020-01-04T07:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.031,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T07:00+01:00[Europe/Oslo],2020-01-04T08:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.169,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T08:00+01:00[Europe/Oslo],2020-01-04T09:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.672,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T09:00+01:00[Europe/Oslo],2020-01-04T10:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.646,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T10:00+01:00[Europe/Oslo],2020-01-04T11:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.777,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T11:00+01:00[Europe/Oslo],2020-01-04T12:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.731,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T12:00+01:00[Europe/Oslo],2020-01-04T13:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,1.947,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T13:00+01:00[Europe/Oslo],2020-01-04T14:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.019,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T14:00+01:00[Europe/Oslo],2020-01-04T15:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.341,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
707057500068252398,2020-01-04T15:00+01:00[Europe/Oslo],2020-01-04T16:00+01:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,2.268,KWH,127,2020-01-05T05:59:06+01:00[Europe/Oslo]
