Metering Point Id,From,To,Measurement Name,Volume,Unit Code,Quality,Insert Date Time
707057500068253449,2020-09-01T00:00+02:00[Europe/Oslo],2020-09-01T01:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.957,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T01:00+02:00[Europe/Oslo],2020-09-01T02:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.318,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T02:00+02:00[Europe/Oslo],2020-09-01T03:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.255,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T03:00+02:00[Europe/Oslo],2020-09-01T04:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.849,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T04:00+02:00[Europe/Oslo],2020-09-01T05:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.286,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T05:00+02:00[Europe/Oslo],2020-09-01T06:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.334,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T06:00+02:00[Europe/Oslo],2020-09-01T07:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.71,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T07:00+02:00[Europe/Oslo],2020-09-01T08:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.458,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T08:00+02:00[Europe/Oslo],2020-09-01T09:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.28,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
707057500068253449,2020-09-01T09:00+02:00[Europe/Oslo],2020-09-01T10:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.323,KWH,127,2020-09-02T06:08:59+02:00[Europe/Oslo]
