Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-10-01T00:00+02:00[Europe/Oslo];2020-10-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.844;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T01:00+02:00[Europe/Oslo];2020-10-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.372;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T02:00+02:00[Europe/Oslo];2020-10-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.211;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T03:00+02:00[Europe/Oslo];2020-10-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.457;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T04:00+02:00[Europe/Oslo];2020-10-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.531;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T05:00+02:00[Europe/Oslo];2020-10-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.471;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T06:00+02:00[Europe/Oslo];2020-10-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.653;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T07:00+02:00[Europe/Oslo];2020-10-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.79;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T08:00+02:00[Europe/Oslo];2020-10-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.938;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T09:00+02:00[Europe/Oslo];2020-10-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.432;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T10:00+02:00[Europe/Oslo];2020-10-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.041;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T11:00+02:00[Europe/Oslo];2020-10-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.869;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T12:00+02:00[Europe/Oslo];2020-10-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.737;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T13:00+02:00[Europe/Oslo];2020-10-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.793;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T14:00+02:00[Europe/Oslo];2020-10-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.451;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T15:00+02:00[Europe/Oslo];2020-10-01T16:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.019;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T16:00+02:00[Europe/Oslo];2020-10-01T17:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.324;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T17:00+02:00[Europe/Oslo];2020-10-01T18:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.018;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T18:00+02:00[Europe/Oslo];2020-10-01T19:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.663;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T19:00+02:00[Europe/Oslo];2020-10-01T20:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.617;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T20:00+02:00[Europe/Oslo];2020-10-01T21:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.022;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T21:00+02:00[Europe/Oslo];2020-10-01T22:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.091;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T22:00+02:00[Europe/Oslo];2020-10-01T23:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.09;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-01T23:00+02:00[Europe/Oslo];2020-10-02T00:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.091;KWH;127;2020-10-02T05:54:31+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T00:00+02:00[Europe/Oslo];2020-10-02T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.274;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T01:00+02:00[Europe/Oslo];2020-10-02T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.413;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T02:00+02:00[Europe/Oslo];2020-10-02T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.093;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T03:00+02:00[Europe/Oslo];2020-10-02T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.38;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T04:00+02:00[Europe/Oslo];2020-10-02T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.172;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T05:00+02:00[Europe/Oslo];2020-10-02T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.392;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T06:00+02:00[Europe/Oslo];2020-10-02T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.094;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T07:00+02:00[Europe/Oslo];2020-10-02T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.65;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
7.07058E+17;2020-10-02T08:00+02:00[Europe/Oslo];2020-10-02T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.379;KWH;127;2020-10-03T05:54:11+02:00[Europe/Oslo]
