Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2021-04-01T00:00+02:00[Europe/Oslo];2021-04-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.657;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T01:00+02:00[Europe/Oslo];2021-04-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.647;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T02:00+02:00[Europe/Oslo];2021-04-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.582;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T03:00+02:00[Europe/Oslo];2021-04-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.69;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T04:00+02:00[Europe/Oslo];2021-04-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.754;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T05:00+02:00[Europe/Oslo];2021-04-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;2.223;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T06:00+02:00[Europe/Oslo];2021-04-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.682;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T07:00+02:00[Europe/Oslo];2021-04-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.781;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T08:00+02:00[Europe/Oslo];2021-04-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.845;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T09:00+02:00[Europe/Oslo];2021-04-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.879;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T10:00+02:00[Europe/Oslo];2021-04-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.798;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T11:00+02:00[Europe/Oslo];2021-04-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.813;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T12:00+02:00[Europe/Oslo];2021-04-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.948;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T13:00+02:00[Europe/Oslo];2021-04-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.902;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T14:00+02:00[Europe/Oslo];2021-04-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.197;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
7.07058E+17;2021-04-01T15:00+02:00[Europe/Oslo];2021-04-01T16:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.938;KWH;127;2021-04-02T19:57:05+02:00[Europe/Oslo]
