,0
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 04:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 04:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 05:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 05:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 05:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 05:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 06:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 06:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 06:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 06:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 07:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 07:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 07:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 07:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 08:00:00+0000', tz='UTC'), 'H1')",0.322114173712158
"(Timestamp('2019-01-01 08:00:00+0000', tz='UTC'), 'H3')",-1.11022302462516e-16
"(Timestamp('2019-01-01 08:30:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 08:30:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 09:00:00+0000', tz='UTC'), 'H1')",0.0
"(Timestamp('2019-01-01 09:00:00+0000', tz='UTC'), 'H3')",0.0
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H1')",1.38777878078145e-17
"(Timestamp('2019-01-01 09:30:00+0000', tz='UTC'), 'H3')",0.0
