Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07E+17;2021-04-01T00:00+02:00[Europe/Oslo];2021-04-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.72;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T01:00+02:00[Europe/Oslo];2021-04-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.693;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T02:00+02:00[Europe/Oslo];2021-04-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.747;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T03:00+02:00[Europe/Oslo];2021-04-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.783;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T04:00+02:00[Europe/Oslo];2021-04-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.176;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T05:00+02:00[Europe/Oslo];2021-04-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.711;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T06:00+02:00[Europe/Oslo];2021-04-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.778;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T07:00+02:00[Europe/Oslo];2021-04-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.748;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T08:00+02:00[Europe/Oslo];2021-04-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.707;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T09:00+02:00[Europe/Oslo];2021-04-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.76;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T10:00+02:00[Europe/Oslo];2021-04-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.691;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T11:00+02:00[Europe/Oslo];2021-04-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.835;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T12:00+02:00[Europe/Oslo];2021-04-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.838;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T13:00+02:00[Europe/Oslo];2021-04-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.544;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
7.07E+17;2021-04-01T14:00+02:00[Europe/Oslo];2021-04-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.556;KWH;127;2021-04-02T04:54:26+02:00[Europe/Oslo]
