Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-08-01T00:00+02:00[Europe/Oslo];2020-08-01T01:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.042;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T01:00+02:00[Europe/Oslo];2020-08-01T02:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.024;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T02:00+02:00[Europe/Oslo];2020-08-01T03:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.026;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T03:00+02:00[Europe/Oslo];2020-08-01T04:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.02;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T04:00+02:00[Europe/Oslo];2020-08-01T05:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.161;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T05:00+02:00[Europe/Oslo];2020-08-01T06:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.305;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T06:00+02:00[Europe/Oslo];2020-08-01T07:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.022;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T07:00+02:00[Europe/Oslo];2020-08-01T08:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.017;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T08:00+02:00[Europe/Oslo];2020-08-01T09:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.398;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T09:00+02:00[Europe/Oslo];2020-08-01T10:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.185;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T10:00+02:00[Europe/Oslo];2020-08-01T11:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.045;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T11:00+02:00[Europe/Oslo];2020-08-01T12:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.356;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T12:00+02:00[Europe/Oslo];2020-08-01T13:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.25;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T13:00+02:00[Europe/Oslo];2020-08-01T14:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.023;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T14:00+02:00[Europe/Oslo];2020-08-01T15:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.028;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T15:00+02:00[Europe/Oslo];2020-08-01T16:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.034;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T16:00+02:00[Europe/Oslo];2020-08-01T17:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.028;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T17:00+02:00[Europe/Oslo];2020-08-01T18:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.02;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
7.07058E+17;2020-08-01T18:00+02:00[Europe/Oslo];2020-08-01T19:00+02:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.109;KWH;127;2020-08-05T14:49:32+02:00[Europe/Oslo]
