Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-03-01T00:00+01:00[Europe/Oslo];2020-03-01T01:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;2;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T01:00+01:00[Europe/Oslo];2020-03-01T02:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.5;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T02:00+01:00[Europe/Oslo];2020-03-01T03:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.21;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T03:00+01:00[Europe/Oslo];2020-03-01T04:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.676;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T04:00+01:00[Europe/Oslo];2020-03-01T05:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.197;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T05:00+01:00[Europe/Oslo];2020-03-01T06:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.714;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T06:00+01:00[Europe/Oslo];2020-03-01T07:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.617;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T07:00+01:00[Europe/Oslo];2020-03-01T08:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;2.073;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T08:00+01:00[Europe/Oslo];2020-03-01T09:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.257;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T09:00+01:00[Europe/Oslo];2020-03-01T10:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;2.861;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T10:00+01:00[Europe/Oslo];2020-03-01T11:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.998;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
7.07058E+17;2020-03-01T11:00+01:00[Europe/Oslo];2020-03-01T12:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.008;KWH;127;2020-03-03T05:58:49+01:00[Europe/Oslo]
