# Renewables.ninja Solar PV (Point API) - 63.438; 10.423 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060;;;;;;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Oslo; electricity in kW; irradiance_direct in kW/m²; irradiance_diffuse in kW/m²; temperature in ºC;;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Oslo""";" ""electricity"": ""kW""";" ""irradiance_direct"": ""kW/m\u00b2""";" ""irradiance_diffuse"": ""kW/m\u00b2""";" ""temperature"": ""\u00baC""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""63.43822373317894""";" ""lon"": ""10.423078541247632""";" ""date_from"": ""2020-01-01""";" ""date_to"": ""2020-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""1""";" ""system_loss"": ""0.1""";" ""tracking"": ""0""";" ""tilt"": ""40""";" ""azim"": ""180""";" ""raw"": true}}"
time;local_time;electricity;irradiance_direct;irradiance_diffuse;temperature;;;;;;;;;;;;;
01.01.2020 00:00;01.01.2020 01:00;0;0;0;3.997;;;;;;;;;;;;;
01.01.2020 01:00;01.01.2020 02:00;0;0;0;4.365;;;;;;;;;;;;;
01.01.2020 02:00;01.01.2020 03:00;0;0;0;4.627;;;;;;;;;;;;;
01.01.2020 03:00;01.01.2020 04:00;0;0;0;4.718;;;;;;;;;;;;;
01.01.2020 04:00;01.01.2020 05:00;0;0;0;4.726;;;;;;;;;;;;;
01.01.2020 05:00;01.01.2020 06:00;0;0;0;4.725;;;;;;;;;;;;;
01.01.2020 06:00;01.01.2020 07:00;0;0;0;4.751;;;;;;;;;;;;;
01.01.2020 07:00;01.01.2020 08:00;0;0;0;4.779;;;;;;;;;;;;;
01.01.2020 08:00;01.01.2020 09:00;0;0;0;4.785;;;;;;;;;;;;;
01.01.2020 09:00;01.01.2020 10:00;0;0.001;0.002;4.833;;;;;;;;;;;;;
01.01.2020 10:00;01.01.2020 11:00;0.003;0.002;0.009;4.916;;;;;;;;;;;;;
01.01.2020 11:00;01.01.2020 12:00;0.004;0.002;0.01;5.012;;;;;;;;;;;;;
01.01.2020 12:00;01.01.2020 13:00;0.001;0.001;0.006;5.095;;;;;;;;;;;;;
01.01.2020 13:00;01.01.2020 14:00;0;0;0;5.119;;;;;;;;;;;;;
01.01.2020 14:00;01.01.2020 15:00;0;0;0;5.05;;;;;;;;;;;;;
01.01.2020 15:00;01.01.2020 16:00;0;0;0;4.939;;;;;;;;;;;;;
01.01.2020 16:00;01.01.2020 17:00;0;0;0;4.718;;;;;;;;;;;;;
01.01.2020 17:00;01.01.2020 18:00;0;0;0;4.496;;;;;;;;;;;;;
01.01.2020 18:00;01.01.2020 19:00;0;0;0;4.408;;;;;;;;;;;;;
01.01.2020 19:00;01.01.2020 20:00;0;0;0;4.407;;;;;;;;;;;;;
01.01.2020 20:00;01.01.2020 21:00;0;0;0;4.41;;;;;;;;;;;;;
01.01.2020 21:00;01.01.2020 22:00;0;0;0;4.391;;;;;;;;;;;;;
01.01.2020 22:00;01.01.2020 23:00;0;0;0;4.418;;;;;;;;;;;;;
01.01.2020 23:00;02.01.2020 00:00;0;0;0;4.48;;;;;;;;;;;;;
02.01.2020 00:00;02.01.2020 01:00;0;0;0;4.407;;;;;;;;;;;;;
02.01.2020 01:00;02.01.2020 02:00;0;0;0;3.994;;;;;;;;;;;;;
02.01.2020 02:00;02.01.2020 03:00;0;0;0;3.777;;;;;;;;;;;;;
02.01.2020 03:00;02.01.2020 04:00;0;0;0;4.403;;;;;;;;;;;;;
02.01.2020 04:00;02.01.2020 05:00;0;0;0;5.14;;;;;;;;;;;;;
02.01.2020 05:00;02.01.2020 06:00;0;0;0;5.239;;;;;;;;;;;;;
02.01.2020 06:00;02.01.2020 07:00;0;0;0;5.481;;;;;;;;;;;;;
02.01.2020 07:00;02.01.2020 08:00;0;0;0;5.568;;;;;;;;;;;;;
02.01.2020 08:00;02.01.2020 09:00;0;0;0;5.885;;;;;;;;;;;;;
02.01.2020 09:00;02.01.2020 10:00;0.006;0.01;0.005;5.954;;;;;;;;;;;;;
02.01.2020 10:00;02.01.2020 11:00;0.024;0.02;0.018;5.786;;;;;;;;;;;;;
02.01.2020 11:00;02.01.2020 12:00;0.036;0.029;0.023;5.502;;;;;;;;;;;;;
02.01.2020 12:00;02.01.2020 13:00;0.022;0.02;0.015;5.173;;;;;;;;;;;;;
02.01.2020 13:00;02.01.2020 14:00;0;0.002;0.001;4.963;;;;;;;;;;;;;
02.01.2020 14:00;02.01.2020 15:00;0;0;0;4.827;;;;;;;;;;;;;
02.01.2020 15:00;02.01.2020 16:00;0;0;0;4.635;;;;;;;;;;;;;
02.01.2020 16:00;02.01.2020 17:00;0;0;0;4.477;;;;;;;;;;;;;
02.01.2020 17:00;02.01.2020 18:00;0;0;0;4.433;;;;;;;;;;;;;
02.01.2020 18:00;02.01.2020 19:00;0;0;0;4.458;;;;;;;;;;;;;
02.01.2020 19:00;02.01.2020 20:00;0;0;0;4.523;;;;;;;;;;;;;
02.01.2020 20:00;02.01.2020 21:00;0;0;0;4.618;;;;;;;;;;;;;
02.01.2020 21:00;02.01.2020 22:00;0;0;0;4.671;;;;;;;;;;;;;
02.01.2020 22:00;02.01.2020 23:00;0;0;0;4.64;;;;;;;;;;;;;
02.01.2020 23:00;03.01.2020 00:00;0;0;0;4.668;;;;;;;;;;;;;
03.01.2020 00:00;03.01.2020 01:00;0;0;0;4.593;;;;;;;;;;;;;
03.01.2020 01:00;03.01.2020 02:00;0;0;0;4.033;;;;;;;;;;;;;
03.01.2020 02:00;03.01.2020 03:00;0;0;0;3.41;;;;;;;;;;;;;
03.01.2020 03:00;03.01.2020 04:00;0;0;0;2.621;;;;;;;;;;;;;
03.01.2020 04:00;03.01.2020 05:00;0;0;0;2.022;;;;;;;;;;;;;
03.01.2020 05:00;03.01.2020 06:00;0;0;0;1.578;;;;;;;;;;;;;
03.01.2020 06:00;03.01.2020 07:00;0;0;0;1.117;;;;;;;;;;;;;
03.01.2020 07:00;03.01.2020 08:00;0;0;0;0.476;;;;;;;;;;;;;
