# Renewables.ninja Solar PV (Point API) - 63.439; 10.422 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060;;;;;;;;;;;;;;
# Units: time in UTC; local_time in Europe/Oslo; electricity in kW;;;;;;;;;;;;;
"# {""units"": {""time"": ""UTC""";" ""local_time"": ""Europe/Oslo""";" ""electricity"": ""kW""}";" ""params"": {""local_time"": true";" ""header"": true";" ""lat"": ""63.4385796355794""";" ""lon"": ""10.422076606302756""";" ""date_from"": ""2020-01-01""";" ""date_to"": ""2020-12-31""";" ""dataset"": ""merra2""";" ""capacity"": ""5""";" ""system_loss"": ""0.1""";" ""tracking"": ""0""";" ""tilt"": ""40""";" ""azim"": ""180""";" ""raw"": false}}"
time;local_time;electricity;;;;;;;;;;;;;
01.01.2020 00:00;01.01.2020 01:00;0;;;;;;;;;;;;;
01.01.2020 01:00;01.01.2020 02:00;0;;;;;;;;;;;;;
01.01.2020 02:00;01.01.2020 03:00;0;;;;;;;;;;;;;
01.01.2020 03:00;01.01.2020 04:00;0;;;;;;;;;;;;;
01.01.2020 04:00;01.01.2020 05:00;0;;;;;;;;;;;;;
01.01.2020 05:00;01.01.2020 06:00;0;;;;;;;;;;;;;
01.01.2020 06:00;01.01.2020 07:00;0;;;;;;;;;;;;;
01.01.2020 07:00;01.01.2020 08:00;0;;;;;;;;;;;;;
01.01.2020 08:00;01.01.2020 09:00;0;;;;;;;;;;;;;
01.01.2020 09:00;01.01.2020 10:00;0;;;;;;;;;;;;;
01.01.2020 10:00;01.01.2020 11:00;0.017;;;;;;;;;;;;;
01.01.2020 11:00;01.01.2020 12:00;0.02;;;;;;;;;;;;;
01.01.2020 12:00;01.01.2020 13:00;0.003;;;;;;;;;;;;;
01.01.2020 13:00;01.01.2020 14:00;0;;;;;;;;;;;;;
01.01.2020 14:00;01.01.2020 15:00;0;;;;;;;;;;;;;
01.01.2020 15:00;01.01.2020 16:00;0;;;;;;;;;;;;;
01.01.2020 16:00;01.01.2020 17:00;0;;;;;;;;;;;;;
01.01.2020 17:00;01.01.2020 18:00;0;;;;;;;;;;;;;
01.01.2020 18:00;01.01.2020 19:00;0;;;;;;;;;;;;;
01.01.2020 19:00;01.01.2020 20:00;0;;;;;;;;;;;;;
01.01.2020 20:00;01.01.2020 21:00;0;;;;;;;;;;;;;
01.01.2020 21:00;01.01.2020 22:00;0;;;;;;;;;;;;;
01.01.2020 22:00;01.01.2020 23:00;0;;;;;;;;;;;;;
01.01.2020 23:00;02.01.2020 00:00;0;;;;;;;;;;;;;
02.01.2020 00:00;02.01.2020 01:00;0;;;;;;;;;;;;;
02.01.2020 01:00;02.01.2020 02:00;0;;;;;;;;;;;;;
02.01.2020 02:00;02.01.2020 03:00;0;;;;;;;;;;;;;
02.01.2020 03:00;02.01.2020 04:00;0;;;;;;;;;;;;;
02.01.2020 04:00;02.01.2020 05:00;0;;;;;;;;;;;;;
02.01.2020 05:00;02.01.2020 06:00;0;;;;;;;;;;;;;
02.01.2020 06:00;02.01.2020 07:00;0;;;;;;;;;;;;;
02.01.2020 07:00;02.01.2020 08:00;0;;;;;;;;;;;;;
02.01.2020 08:00;02.01.2020 09:00;0;;;;;;;;;;;;;
02.01.2020 09:00;02.01.2020 10:00;0.03;;;;;;;;;;;;;
02.01.2020 10:00;02.01.2020 11:00;0.119;;;;;;;;;;;;;
02.01.2020 11:00;02.01.2020 12:00;0.181;;;;;;;;;;;;;
02.01.2020 12:00;02.01.2020 13:00;0.108;;;;;;;;;;;;;
02.01.2020 13:00;02.01.2020 14:00;0;;;;;;;;;;;;;
02.01.2020 14:00;02.01.2020 15:00;0;;;;;;;;;;;;;
02.01.2020 15:00;02.01.2020 16:00;0;;;;;;;;;;;;;
02.01.2020 16:00;02.01.2020 17:00;0;;;;;;;;;;;;;
02.01.2020 17:00;02.01.2020 18:00;0;;;;;;;;;;;;;
02.01.2020 18:00;02.01.2020 19:00;0;;;;;;;;;;;;;
02.01.2020 19:00;02.01.2020 20:00;0;;;;;;;;;;;;;
02.01.2020 20:00;02.01.2020 21:00;0;;;;;;;;;;;;;
02.01.2020 21:00;02.01.2020 22:00;0;;;;;;;;;;;;;
02.01.2020 22:00;02.01.2020 23:00;0;;;;;;;;;;;;;
02.01.2020 23:00;03.01.2020 00:00;0;;;;;;;;;;;;;
