Time,Household,Peer,X_p
2019-01-01 00:00:00+00:00,H1,H1,0.0
2019-01-01 00:00:00+00:00,H1,H2,0.0
2019-01-01 00:00:00+00:00,H1,H3,0.0
2019-01-01 00:00:00+00:00,H1,H4,0.0
2019-01-01 00:00:00+00:00,H2,H1,0.0
2019-01-01 00:00:00+00:00,H2,H2,0.0
2019-01-01 00:00:00+00:00,H2,H3,0.0
2019-01-01 00:00:00+00:00,H2,H4,0.0
2019-01-01 00:00:00+00:00,H3,H1,0.0
2019-01-01 00:00:00+00:00,H3,H2,0.0
2019-01-01 00:00:00+00:00,H3,H3,0.0
2019-01-01 00:00:00+00:00,H3,H4,0.0
2019-01-01 00:00:00+00:00,H4,H1,0.0
2019-01-01 00:00:00+00:00,H4,H2,0.0
2019-01-01 00:00:00+00:00,H4,H3,0.0
2019-01-01 00:00:00+00:00,H4,H4,0.0
2019-01-01 00:30:00+00:00,H1,H1,0.0
2019-01-01 00:30:00+00:00,H1,H2,0.0
2019-01-01 00:30:00+00:00,H1,H3,0.0
2019-01-01 00:30:00+00:00,H1,H4,0.0
2019-01-01 00:30:00+00:00,H2,H1,0.0
2019-01-01 00:30:00+00:00,H2,H2,0.0
2019-01-01 00:30:00+00:00,H2,H3,0.0
2019-01-01 00:30:00+00:00,H2,H4,0.0
2019-01-01 00:30:00+00:00,H3,H1,0.0
2019-01-01 00:30:00+00:00,H3,H2,0.0
2019-01-01 00:30:00+00:00,H3,H3,0.0
2019-01-01 00:30:00+00:00,H3,H4,0.0
2019-01-01 00:30:00+00:00,H4,H1,0.0
2019-01-01 00:30:00+00:00,H4,H2,0.0
2019-01-01 00:30:00+00:00,H4,H3,0.0
2019-01-01 00:30:00+00:00,H4,H4,0.0
2019-01-01 01:00:00+00:00,H1,H1,0.0
2019-01-01 01:00:00+00:00,H1,H2,0.0
2019-01-01 01:00:00+00:00,H1,H3,0.0
2019-01-01 01:00:00+00:00,H1,H4,0.0
2019-01-01 01:00:00+00:00,H2,H1,0.0
2019-01-01 01:00:00+00:00,H2,H2,0.0
2019-01-01 01:00:00+00:00,H2,H3,0.0
2019-01-01 01:00:00+00:00,H2,H4,0.0
2019-01-01 01:00:00+00:00,H3,H1,0.0
2019-01-01 01:00:00+00:00,H3,H2,0.0
2019-01-01 01:00:00+00:00,H3,H3,0.0
2019-01-01 01:00:00+00:00,H3,H4,0.0
2019-01-01 01:00:00+00:00,H4,H1,0.0
2019-01-01 01:00:00+00:00,H4,H2,0.0
2019-01-01 01:00:00+00:00,H4,H3,0.0
2019-01-01 01:00:00+00:00,H4,H4,0.0
2019-01-01 01:30:00+00:00,H1,H1,0.0
2019-01-01 01:30:00+00:00,H1,H2,0.0
2019-01-01 01:30:00+00:00,H1,H3,0.0
2019-01-01 01:30:00+00:00,H1,H4,0.0
2019-01-01 01:30:00+00:00,H2,H1,0.0
2019-01-01 01:30:00+00:00,H2,H2,0.0
2019-01-01 01:30:00+00:00,H2,H3,0.0
2019-01-01 01:30:00+00:00,H2,H4,0.0
2019-01-01 01:30:00+00:00,H3,H1,0.0
2019-01-01 01:30:00+00:00,H3,H2,0.0
2019-01-01 01:30:00+00:00,H3,H3,0.0
2019-01-01 01:30:00+00:00,H3,H4,0.0
2019-01-01 01:30:00+00:00,H4,H1,0.0
2019-01-01 01:30:00+00:00,H4,H2,0.0
2019-01-01 01:30:00+00:00,H4,H3,0.0
2019-01-01 01:30:00+00:00,H4,H4,0.0
2019-01-01 02:00:00+00:00,H1,H1,0.0
2019-01-01 02:00:00+00:00,H1,H2,0.0
2019-01-01 02:00:00+00:00,H1,H3,0.0
2019-01-01 02:00:00+00:00,H1,H4,0.0
2019-01-01 02:00:00+00:00,H2,H1,0.0
2019-01-01 02:00:00+00:00,H2,H2,0.0
2019-01-01 02:00:00+00:00,H2,H3,0.0
2019-01-01 02:00:00+00:00,H2,H4,0.0
2019-01-01 02:00:00+00:00,H3,H1,0.0
2019-01-01 02:00:00+00:00,H3,H2,0.0
2019-01-01 02:00:00+00:00,H3,H3,0.0
2019-01-01 02:00:00+00:00,H3,H4,0.0
2019-01-01 02:00:00+00:00,H4,H1,0.0
2019-01-01 02:00:00+00:00,H4,H2,0.0
2019-01-01 02:00:00+00:00,H4,H3,0.0
2019-01-01 02:00:00+00:00,H4,H4,0.0
2019-01-01 02:30:00+00:00,H1,H1,0.0
2019-01-01 02:30:00+00:00,H1,H2,0.0
2019-01-01 02:30:00+00:00,H1,H3,0.0
2019-01-01 02:30:00+00:00,H1,H4,0.0
2019-01-01 02:30:00+00:00,H2,H1,0.0
2019-01-01 02:30:00+00:00,H2,H2,0.0
2019-01-01 02:30:00+00:00,H2,H3,0.0
2019-01-01 02:30:00+00:00,H2,H4,0.0
2019-01-01 02:30:00+00:00,H3,H1,0.0
2019-01-01 02:30:00+00:00,H3,H2,0.0
2019-01-01 02:30:00+00:00,H3,H3,0.0
2019-01-01 02:30:00+00:00,H3,H4,0.0
2019-01-01 02:30:00+00:00,H4,H1,0.0
2019-01-01 02:30:00+00:00,H4,H2,0.0
2019-01-01 02:30:00+00:00,H4,H3,0.0
2019-01-01 02:30:00+00:00,H4,H4,0.0
2019-01-01 03:00:00+00:00,H1,H1,0.0
2019-01-01 03:00:00+00:00,H1,H2,0.0
2019-01-01 03:00:00+00:00,H1,H3,0.0
2019-01-01 03:00:00+00:00,H1,H4,0.0
2019-01-01 03:00:00+00:00,H2,H1,0.0
2019-01-01 03:00:00+00:00,H2,H2,0.0
2019-01-01 03:00:00+00:00,H2,H3,0.0
