Metering Point Id;From;To;Measurement Name;Volume;Unit Code;Quality;Insert Date Time
7.07058E+17;2020-11-01T00:00+01:00[Europe/Oslo];2020-11-01T01:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.731;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T01:00+01:00[Europe/Oslo];2020-11-01T02:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.744;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T02:00+01:00[Europe/Oslo];2020-11-01T03:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.875;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T03:00+01:00[Europe/Oslo];2020-11-01T04:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.859;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T04:00+01:00[Europe/Oslo];2020-11-01T05:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.572;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T05:00+01:00[Europe/Oslo];2020-11-01T06:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.54;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T06:00+01:00[Europe/Oslo];2020-11-01T07:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.574;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T07:00+01:00[Europe/Oslo];2020-11-01T08:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.5;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T08:00+01:00[Europe/Oslo];2020-11-01T09:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.453;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T09:00+01:00[Europe/Oslo];2020-11-01T10:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.332;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T10:00+01:00[Europe/Oslo];2020-11-01T11:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.703;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T11:00+01:00[Europe/Oslo];2020-11-01T12:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.723;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T12:00+01:00[Europe/Oslo];2020-11-01T13:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.468;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T13:00+01:00[Europe/Oslo];2020-11-01T14:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.709;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T14:00+01:00[Europe/Oslo];2020-11-01T15:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.958;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T15:00+01:00[Europe/Oslo];2020-11-01T16:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.803;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T16:00+01:00[Europe/Oslo];2020-11-01T17:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.342;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T17:00+01:00[Europe/Oslo];2020-11-01T18:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;1.948;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T18:00+01:00[Europe/Oslo];2020-11-01T19:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.397;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T19:00+01:00[Europe/Oslo];2020-11-01T20:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.228;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T20:00+01:00[Europe/Oslo];2020-11-01T21:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.395;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T21:00+01:00[Europe/Oslo];2020-11-01T22:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.095;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T22:00+01:00[Europe/Oslo];2020-11-01T23:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.197;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-01T23:00+01:00[Europe/Oslo];2020-11-02T00:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.09;KWH;127;2020-11-02T05:54+01:00[Europe/Oslo]
7.07058E+17;2020-11-02T00:00+01:00[Europe/Oslo];2020-11-02T01:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.111;KWH;127;2020-11-03T06:02:15+01:00[Europe/Oslo]
7.07058E+17;2020-11-02T01:00+01:00[Europe/Oslo];2020-11-02T02:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.177;KWH;127;2020-11-03T06:02:15+01:00[Europe/Oslo]
7.07058E+17;2020-11-02T02:00+01:00[Europe/Oslo];2020-11-02T03:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.42;KWH;127;2020-11-03T06:02:15+01:00[Europe/Oslo]
7.07058E+17;2020-11-02T03:00+01:00[Europe/Oslo];2020-11-02T04:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.107;KWH;127;2020-11-03T06:02:15+01:00[Europe/Oslo]
7.07058E+17;2020-11-02T04:00+01:00[Europe/Oslo];2020-11-02T05:00+01:00[Europe/Oslo];Elhub KWH 60 Interval Read Consumption;0.107;KWH;127;2020-11-03T06:02:15+01:00[Europe/Oslo]
