Metering Point Id,From,To,Measurement Name,Volume,Unit Code,Quality,Insert Date Time
707057500068222919,2021-06-01T00:00+02:00[Europe/Oslo],2021-06-01T01:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.048,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T01:00+02:00[Europe/Oslo],2021-06-01T02:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.057,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T02:00+02:00[Europe/Oslo],2021-06-01T03:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.042,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T03:00+02:00[Europe/Oslo],2021-06-01T04:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.041,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T04:00+02:00[Europe/Oslo],2021-06-01T05:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.045,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T05:00+02:00[Europe/Oslo],2021-06-01T06:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.051,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T06:00+02:00[Europe/Oslo],2021-06-01T07:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.04,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T07:00+02:00[Europe/Oslo],2021-06-01T08:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.332,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T08:00+02:00[Europe/Oslo],2021-06-01T09:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.141,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T09:00+02:00[Europe/Oslo],2021-06-01T10:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.23,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T10:00+02:00[Europe/Oslo],2021-06-01T11:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.041,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T11:00+02:00[Europe/Oslo],2021-06-01T12:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.215,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T12:00+02:00[Europe/Oslo],2021-06-01T13:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.341,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T13:00+02:00[Europe/Oslo],2021-06-01T14:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.15,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T14:00+02:00[Europe/Oslo],2021-06-01T15:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.446,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T15:00+02:00[Europe/Oslo],2021-06-01T16:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.47,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T16:00+02:00[Europe/Oslo],2021-06-01T17:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.677,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T17:00+02:00[Europe/Oslo],2021-06-01T18:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.498,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T18:00+02:00[Europe/Oslo],2021-06-01T19:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.609,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T19:00+02:00[Europe/Oslo],2021-06-01T20:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.223,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T20:00+02:00[Europe/Oslo],2021-06-01T21:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.206,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T21:00+02:00[Europe/Oslo],2021-06-01T22:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.594,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T22:00+02:00[Europe/Oslo],2021-06-01T23:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.787,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-01T23:00+02:00[Europe/Oslo],2021-06-02T00:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.621,KWH,127,2021-06-02T04:57:10+02:00[Europe/Oslo]
707057500068222919,2021-06-02T00:00+02:00[Europe/Oslo],2021-06-02T01:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.107,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T01:00+02:00[Europe/Oslo],2021-06-02T02:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.118,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T02:00+02:00[Europe/Oslo],2021-06-02T03:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.104,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T03:00+02:00[Europe/Oslo],2021-06-02T04:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.11,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T04:00+02:00[Europe/Oslo],2021-06-02T05:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.113,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T05:00+02:00[Europe/Oslo],2021-06-02T06:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.104,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T06:00+02:00[Europe/Oslo],2021-06-02T07:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.112,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
707057500068222919,2021-06-02T07:00+02:00[Europe/Oslo],2021-06-02T08:00+02:00[Europe/Oslo],Elhub KWH 60 Interval Read Consumption,0.108,KWH,127,2021-06-03T04:58:18+02:00[Europe/Oslo]
