;;1kw;2kw;3kw;5kw;;;;;
01.04.2020 00:00;;0;0;0;0;;;;;
01.04.2020 01:00;;0;0;0;0;;;;;
01.04.2020 02:00;;0;0;0;0;;;;;
01.04.2020 03:00;;0;0;0;0;;;;;
01.04.2020 04:00;;0;0;0;0;;;;;
01.04.2020 05:00;;0.005;0.011;0.016;0.027;;;;;
01.04.2020 06:00;;0.027;0.054;0.081;0.135;;;;;
01.04.2020 07:00;;0.045;0.09;0.134;0.224;;;;;
01.04.2020 08:00;;0.066;0.133;0.199;0.331;;;;;
01.04.2020 09:00;;0.096;0.192;0.288;0.479;;;;;
01.04.2020 10:00;;0.126;0.253;0.379;0.632;;;;;
01.04.2020 11:00;;0.149;0.299;0.448;0.747;;;;;
01.04.2020 12:00;;0.203;0.406;0.61;1.016;;;;;
01.04.2020 13:00;;0.191;0.382;0.573;0.954;;;;;
01.04.2020 14:00;;0.139;0.278;0.418;0.696;;;;;
01.04.2020 15:00;;0.116;0.233;0.349;0.582;;;;;
01.04.2020 16:00;;0.037;0.075;0.112;0.187;;;;;
01.04.2020 17:00;;0.003;0.006;0.01;0.016;;;;;
01.04.2020 18:00;;0;0;0;0;;;;;
01.04.2020 19:00;;0;0;0;0;;;;;
01.04.2020 20:00;;0;0;0;0;;;;;
01.04.2020 21:00;;0;0;0;0;;;;;
01.04.2020 22:00;;0;0;0;0;;;;;
01.04.2020 23:00;;0;0;0;0;;;;;
02.04.2020 00:00;;0;0;0;0;;;;;
02.04.2020 01:00;;0;0;0;0;;;;;
02.04.2020 02:00;;0;0;0;0;;;;;
02.04.2020 03:00;;0;0;0;0;;;;;
02.04.2020 04:00;;0;0;0;0;;;;;
02.04.2020 05:00;;0.005;0.009;0.014;0.023;;;;;
02.04.2020 06:00;;0.025;0.049;0.074;0.123;;;;;
02.04.2020 07:00;;0.046;0.092;0.138;0.23;;;;;
02.04.2020 08:00;;0.059;0.117;0.176;0.293;;;;;
02.04.2020 09:00;;0.091;0.182;0.273;0.454;;;;;
02.04.2020 10:00;;0.193;0.387;0.58;0.968;;;;;
02.04.2020 11:00;;0.282;0.565;0.847;1.412;;;;;
02.04.2020 12:00;;0.329;0.658;0.986;1.643;;;;;
02.04.2020 13:00;;0.263;0.526;0.788;1.313;;;;;
02.04.2020 14:00;;0.188;0.376;0.564;0.939;;;;;
02.04.2020 15:00;;0.111;0.222;0.333;0.555;;;;;
02.04.2020 16:00;;0.042;0.085;0.127;0.211;;;;;
02.04.2020 17:00;;0.002;0.004;0.006;0.011;;;;;
02.04.2020 18:00;;0;0;0;0;;;;;
02.04.2020 19:00;;0;0;0;0;;;;;
02.04.2020 20:00;;0;0;0;0;;;;;
02.04.2020 21:00;;0;0;0;0;;;;;
02.04.2020 22:00;;0;0;0;0;;;;;
02.04.2020 23:00;;0;0;0;0;;;;;
03.04.2020 00:00;;0;0;0;0;;;;;
03.04.2020 01:00;;0;0;0;0;;;;;
03.04.2020 02:00;;0;0;0;0;;;;;
03.04.2020 03:00;;0;0;0;0;;;;;
03.04.2020 04:00;;0;0;0;0;;;;;
03.04.2020 05:00;;0.017;0.033;0.05;0.084;;;;;
03.04.2020 06:00;;0.064;0.129;0.193;0.322;;;;;
03.04.2020 07:00;;0.103;0.207;0.31;0.516;;;;;
03.04.2020 08:00;;0.16;0.319;0.479;0.798;;;;;
03.04.2020 09:00;;0.203;0.407;0.61;1.017;;;;;
03.04.2020 10:00;;0.197;0.394;0.59;0.984;;;;;
03.04.2020 11:00;;0.174;0.349;0.523;0.872;;;;;
03.04.2020 12:00;;0.156;0.313;0.469;0.782;;;;;
03.04.2020 13:00;;0.139;0.278;0.417;0.695;;;;;
03.04.2020 14:00;;0.106;0.212;0.318;0.53;;;;;
03.04.2020 15:00;;0.064;0.128;0.191;0.319;;;;;
03.04.2020 16:00;;0.023;0.047;0.07;0.117;;;;;
03.04.2020 17:00;;0.002;0.003;0.005;0.008;;;;;
03.04.2020 18:00;;0;0;0;0;;;;;
03.04.2020 19:00;;0;0;0;0;;;;;
03.04.2020 20:00;;0;0;0;0;;;;;
03.04.2020 21:00;;0;0;0;0;;;;;
03.04.2020 22:00;;0;0;0;0;;;;;
03.04.2020 23:00;;0;0;0;0;;;;;
04.04.2020 00:00;;0;0;0;0;;;;;
04.04.2020 01:00;;0;0;0;0;;;;;
04.04.2020 02:00;;0;0;0;0;;;;;
04.04.2020 03:00;;0;0;0;0;;;;;
04.04.2020 04:00;;0;0;0;0;;;;;
04.04.2020 05:00;;0.006;0.012;0.019;0.031;;;;;
04.04.2020 06:00;;0.024;0.049;0.073;0.122;;;;;
04.04.2020 07:00;;0.058;0.116;0.174;0.291;;;;;
04.04.2020 08:00;;0.133;0.265;0.398;0.663;;;;;
04.04.2020 09:00;;0.187;0.373;0.56;0.934;;;;;
04.04.2020 10:00;;0.255;0.51;0.765;1.275;;;;;
04.04.2020 11:00;;0.349;0.698;1.046;1.744;;;;;
04.04.2020 12:00;;0.384;0.768;1.151;1.919;;;;;
04.04.2020 13:00;;0.293;0.586;0.879;1.465;;;;;
04.04.2020 14:00;;0.25;0.501;0.751;1.252;;;;;
04.04.2020 15:00;;0.163;0.326;0.489;0.814;;;;;
04.04.2020 16:00;;0.07;0.14;0.21;0.349;;;;;
04.04.2020 17:00;;0.011;0.021;0.032;0.054;;;;;
04.04.2020 18:00;;0;0;0;0;;;;;
04.04.2020 19:00;;0;0;0;0;;;;;
04.04.2020 20:00;;0;0;0;0;;;;;
04.04.2020 21:00;;0;0;0;0;;;;;
04.04.2020 22:00;;0;0;0;0;;;;;
04.04.2020 23:00;;0;0;0;0;;;;;
05.04.2020 00:00;;0;0;0;0;;;;;
05.04.2020 01:00;;0;0;0;0;;;;;
05.04.2020 02:00;;0;0;0;0;;;;;
05.04.2020 03:00;;0;0;0;0;;;;;
05.04.2020 04:00;;0;0;0;0;;;;;
05.04.2020 05:00;;0.022;0.044;0.066;0.11;;;;;
05.04.2020 06:00;;0.076;0.153;0.229;0.382;;;;;
05.04.2020 07:00;;0.145;0.289;0.434;0.724;;;;;
05.04.2020 08:00;;0.173;0.346;0.518;0.864;;;;;
05.04.2020 09:00;;0.19;0.381;0.571;0.952;;;;;
05.04.2020 10:00;;0.193;0.385;0.578;0.963;;;;;
05.04.2020 11:00;;0.175;0.349;0.524;0.873;;;;;
05.04.2020 12:00;;0.18;0.359;0.539;0.897;;;;;
05.04.2020 13:00;;0.215;0.43;0.645;1.074;;;;;
05.04.2020 14:00;;0.198;0.397;0.595;0.992;;;;;
05.04.2020 15:00;;0.111;0.222;0.333;0.554;;;;;
05.04.2020 16:00;;0.048;0.096;0.145;0.241;;;;;
05.04.2020 17:00;;0.009;0.018;0.028;0.046;;;;;
05.04.2020 18:00;;0;0;0;0;;;;;
05.04.2020 19:00;;0;0;0;0;;;;;
05.04.2020 20:00;;0;0;0;0;;;;;
05.04.2020 21:00;;0;0;0;0;;;;;
05.04.2020 22:00;;0;0;0;0;;;;;
05.04.2020 23:00;;0;0;0;0;;;;;
06.04.2020 00:00;;0;0;0;0;;;;;
06.04.2020 01:00;;0;0;0;0;;;;;
06.04.2020 02:00;;0;0;0;0;;;;;
06.04.2020 03:00;;0;0;0;0;;;;;
06.04.2020 04:00;;0;0;0;0;;;;;
06.04.2020 05:00;;0.04;0.08;0.119;0.199;;;;;
06.04.2020 06:00;;0.171;0.342;0.513;0.855;;;;;
06.04.2020 07:00;;0.396;0.791;1.187;1.977;;;;;
06.04.2020 08:00;;0.548;1.096;1.644;2.74;;;;;
06.04.2020 09:00;;0.678;1.355;2.033;3.387;;;;;
06.04.2020 10:00;;0.787;1.574;2.361;3.935;;;;;
06.04.2020 11:00;;0.819;1.639;2.458;4.097;;;;;
06.04.2020 12:00;;0.78;1.561;2.341;3.902;;;;;
06.04.2020 13:00;;0.69;1.38;2.07;3.45;;;;;
06.04.2020 14:00;;0.548;1.097;1.645;2.742;;;;;
06.04.2020 15:00;;0.365;0.729;1.094;1.823;;;;;
06.04.2020 16:00;;0.156;0.311;0.467;0.778;;;;;
06.04.2020 17:00;;0.019;0.039;0.058;0.097;;;;;
06.04.2020 18:00;;0;0;0;0;;;;;
06.04.2020 19:00;;0;0;0;0;;;;;
06.04.2020 20:00;;0;0;0;0;;;;;
06.04.2020 21:00;;0;0;0;0;;;;;
06.04.2020 22:00;;0;0;0;0;;;;;
06.04.2020 23:00;;0;0;0;0;;;;;
07.04.2020 00:00;;0;0;0;0;;;;;
07.04.2020 01:00;;0;0;0;0;;;;;
07.04.2020 02:00;;0;0;0;0;;;;;
07.04.2020 03:00;;0;0;0;0;;;;;
07.04.2020 04:00;;0;0;0;0.001;;;;;
07.04.2020 05:00;;0.03;0.061;0.091;0.151;;;;;
07.04.2020 06:00;;0.091;0.183;0.274;0.457;;;;;
07.04.2020 07:00;;0.228;0.456;0.685;1.141;;;;;
07.04.2020 08:00;;0.381;0.761;1.142;1.902;;;;;
07.04.2020 09:00;;0.503;1.006;1.509;2.514;;;;;
07.04.2020 10:00;;0.473;0.946;1.419;2.364;;;;;
07.04.2020 11:00;;0.501;1.002;1.503;2.505;;;;;
07.04.2020 12:00;;0.618;1.236;1.854;3.091;;;;;
07.04.2020 13:00;;0.563;1.126;1.688;2.814;;;;;
07.04.2020 14:00;;0.43;0.861;1.291;2.152;;;;;
07.04.2020 15:00;;0.289;0.579;0.868;1.446;;;;;
07.04.2020 16:00;;0.11;0.22;0.331;0.551;;;;;
07.04.2020 17:00;;0.011;0.022;0.033;0.055;;;;;
07.04.2020 18:00;;0;0;0;0;;;;;
07.04.2020 19:00;;0;0;0;0;;;;;
07.04.2020 20:00;;0;0;0;0;;;;;
07.04.2020 21:00;;0;0;0;0;;;;;
07.04.2020 22:00;;0;0;0;0;;;;;
07.04.2020 23:00;;0;0;0;0;;;;;
08.04.2020 00:00;;0;0;0;0;;;;;
08.04.2020 01:00;;0;0;0;0;;;;;
08.04.2020 02:00;;0;0;0;0;;;;;
08.04.2020 03:00;;0;0;0;0;;;;;
08.04.2020 04:00;;0;0;0;0;;;;;
08.04.2020 05:00;;0.023;0.046;0.07;0.116;;;;;
08.04.2020 06:00;;0.066;0.132;0.198;0.33;;;;;
08.04.2020 07:00;;0.112;0.224;0.337;0.561;;;;;
08.04.2020 08:00;;0.161;0.321;0.482;0.802;;;;;
08.04.2020 09:00;;0.192;0.385;0.577;0.961;;;;;
08.04.2020 10:00;;0.238;0.476;0.714;1.19;;;;;
08.04.2020 11:00;;0.251;0.502;0.753;1.255;;;;;
08.04.2020 12:00;;0.329;0.658;0.987;1.646;;;;;
08.04.2020 13:00;;0.304;0.608;0.911;1.519;;;;;
08.04.2020 14:00;;0.197;0.394;0.591;0.984;;;;;
08.04.2020 15:00;;0.101;0.202;0.303;0.505;;;;;
08.04.2020 16:00;;0.042;0.084;0.126;0.21;;;;;
08.04.2020 17:00;;0.006;0.012;0.018;0.03;;;;;
08.04.2020 18:00;;0;0;0;0;;;;;
08.04.2020 19:00;;0;0;0;0;;;;;
08.04.2020 20:00;;0;0;0;0;;;;;
08.04.2020 21:00;;0;0;0;0;;;;;
08.04.2020 22:00;;0;0;0;0;;;;;
08.04.2020 23:00;;0;0;0;0;;;;;
09.04.2020 00:00;;0;0;0;0;;;;;
09.04.2020 01:00;;0;0;0;0;;;;;
09.04.2020 02:00;;0;0;0;0;;;;;
09.04.2020 03:00;;0;0;0;0;;;;;
09.04.2020 04:00;;0;0;0;0;;;;;
09.04.2020 05:00;;0.011;0.023;0.034;0.057;;;;;
09.04.2020 06:00;;0.032;0.065;0.097;0.162;;;;;
09.04.2020 07:00;;0.059;0.119;0.178;0.297;;;;;
09.04.2020 08:00;;0.089;0.179;0.268;0.446;;;;;
09.04.2020 09:00;;0.123;0.246;0.368;0.614;;;;;
09.04.2020 10:00;;0.119;0.238;0.356;0.594;;;;;
09.04.2020 11:00;;0.127;0.254;0.381;0.635;;;;;
09.04.2020 12:00;;0.104;0.208;0.312;0.52;;;;;
09.04.2020 13:00;;0.122;0.244;0.367;0.611;;;;;
09.04.2020 14:00;;0.119;0.237;0.356;0.593;;;;;
09.04.2020 15:00;;0.065;0.131;0.196;0.327;;;;;
09.04.2020 16:00;;0.032;0.063;0.095;0.159;;;;;
09.04.2020 17:00;;0.005;0.009;0.014;0.023;;;;;
09.04.2020 18:00;;0;0;0;0;;;;;
09.04.2020 19:00;;0;0;0;0;;;;;
09.04.2020 20:00;;0;0;0;0;;;;;
09.04.2020 21:00;;0;0;0;0;;;;;
09.04.2020 22:00;;0;0;0;0;;;;;
09.04.2020 23:00;;0;0;0;0;;;;;
10.04.2020 00:00;;0;0;0;0;;;;;
10.04.2020 01:00;;0;0;0;0;;;;;
10.04.2020 02:00;;0;0;0;0;;;;;
10.04.2020 03:00;;0;0;0;0;;;;;
10.04.2020 04:00;;0;0;0;0.001;;;;;
10.04.2020 05:00;;0.023;0.046;0.07;0.116;;;;;
10.04.2020 06:00;;0.07;0.14;0.21;0.35;;;;;
10.04.2020 07:00;;0.107;0.214;0.321;0.535;;;;;
10.04.2020 08:00;;0.158;0.317;0.475;0.792;;;;;
10.04.2020 09:00;;0.189;0.379;0.568;0.947;;;;;
10.04.2020 10:00;;0.202;0.404;0.606;1.01;;;;;
