,0
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H1')",0.219
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H2')",0.187
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H3')",0.669619047619047
"(Timestamp('2019-01-01 00:00:00+0000', tz='UTC'), 'H4')",0.056
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H1')",0.241
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H2')",0.191
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H3')",0.683619047619047
"(Timestamp('2019-01-01 00:30:00+0000', tz='UTC'), 'H4')",0.04
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H1')",0.191
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H2')",0.131
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H3')",0.628619047619048
"(Timestamp('2019-01-01 01:00:00+0000', tz='UTC'), 'H4')",0.049
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H1')",0.235
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H2')",0.146
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H3')",0.695619047619047
"(Timestamp('2019-01-01 01:30:00+0000', tz='UTC'), 'H4')",0.143
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H1')",0.182
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H2')",0.115
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H3')",0.826619047619047
"(Timestamp('2019-01-01 02:00:00+0000', tz='UTC'), 'H4')",0.38
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H1')",0.229
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H2')",0.142
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H3')",0.689619047619047
"(Timestamp('2019-01-01 02:30:00+0000', tz='UTC'), 'H4')",0.094
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H1')",0.49161904761905
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H2')",0.133
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H3')",0.443999999999997
"(Timestamp('2019-01-01 03:00:00+0000', tz='UTC'), 'H4')",0.041
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H1')",0.498619047619047
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H2')",0.124
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H3')",0.382
"(Timestamp('2019-01-01 03:30:00+0000', tz='UTC'), 'H4')",0.042
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H1')",0.122
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H2')",0.161
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H3')",0.620619047619047
"(Timestamp('2019-01-01 04:00:00+0000', tz='UTC'), 'H4')",0.047
"(Timestamp('2019-01-01 04:30:00+0000', tz='UTC'), 'H1')",0.396619047619047
